file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\clientform.java,clientform$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,class,4,5,1,4,12,1,0,22,1,0.5925926,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,8,1,0,0,0,8,0,0,3,86,0,1,1,3,3,24,14,26,9,26,5,0,0,0,62,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\menu1.java,menu1$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,class,5,9,4,5,42,6,0,63,25,0.8214285,0.22222222,0.22222222,10,1,8,0,0,2,10,0,0,0,21,2,0,0,0,21,0,0,6,268,0,8,9,4,3,68,48,75,22,70,6,0,0,0,137,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,class,1,2,1,1,7,6,0,19,0,0.4,1.0,1.0,2,0,1,0,0,1,2,0,0,0,7,0,0,0,0,7,0,0,0,55,0,1,2,1,1,7,24,14,1,16,3,0,0,0,43,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,class,1,2,1,1,30,2,0,15,16,0.77777773,0.37878788,0.6818182,12,0,12,0,0,0,12,0,0,0,6,2,0,6,0,0,0,0,0,90,7,2,12,0,0,7,5,23,5,11,4,0,0,0,43,1,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\clientform.java,clientform,class,0,1,1,0,2,5,0,12,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,29,0,1,0,0,0,5,9,3,0,3,1,1,0,0,24,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,class,3,6,3,3,17,2,0,11,0,0.5555556,0.8055556,1.0,9,0,1,0,0,8,9,0,0,0,5,2,0,0,0,5,0,0,2,72,0,5,1,2,0,1,8,19,1,18,2,0,0,0,31,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chat.java,chat,class,3,6,3,3,27,6,0,44,27,0.84210527,0.17777778,0.22222222,10,1,8,0,0,2,10,0,0,0,15,1,0,0,0,15,0,0,2,161,0,6,3,3,1,32,28,46,9,47,5,0,0,0,103,1,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\sendall.java,sendall,class,2,3,1,2,10,6,0,22,0,0.2,1.0,1.0,2,0,1,0,0,1,2,0,0,0,9,0,0,0,0,9,0,0,0,83,0,1,5,0,0,9,39,21,0,19,2,0,0,0,50,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\form1.java,form1,class,1,2,1,1,5,6,0,17,0,0.27272728,1.0,1.0,2,0,1,0,0,1,2,0,0,0,8,0,0,0,0,8,0,0,0,60,0,0,2,1,0,13,7,16,4,18,2,0,0,0,52,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,mul2,class,3,5,2,3,24,2,0,30,0,0.6000001,0.8,1.0,5,0,1,0,0,4,5,0,0,0,9,0,0,0,0,9,0,0,2,145,0,3,3,5,0,43,13,40,11,33,6,0,0,0,54,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\menu1.java,menu1,class,3,4,1,3,13,5,0,21,24,0.84615386,0.071428575,0.10714286,8,1,7,0,0,1,8,0,0,0,3,0,0,0,0,3,0,0,2,101,0,1,3,1,0,23,57,16,3,17,2,1,0,0,58,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,quitting,class,0,1,1,0,5,2,0,8,0,0.16666667,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,2,28,0,1,0,1,0,2,1,7,0,6,3,0,0,0,22,0,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,ftpser1,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0
