file,class,method,variable,usage
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,q,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,b,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,rin,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,user,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,out,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,q,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,rin,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,user,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,out,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,v,5
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,tip,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,l,9
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,user,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],all,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],exit,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],in,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],v,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],kill,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],send,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],user,1
