file,class,method,variable,usage
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\clientform.java,clientform$Anonymous1,windowClosing/1[java.awt.event.WindowEvent],we,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,str,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,cli,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,t,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,inet,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,e,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,chatform1/0,x,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,msg,7
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,b,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,pat,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,flag,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,e,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,mess,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,b1,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,str,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,size,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,sender,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,fout,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,time,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,run/0,s1,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform1.java,chatform1,main/1[java.lang.String[]],ds,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\menu1.java,menu1$Anonymous1,windowClosing/1[java.awt.event.WindowEvent],we,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mouseEntered/1[java.awt.event.MouseEvent],me,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,t,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,i,11
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,addlabel/0,j,5
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,main/1[java.lang.String[]],ds,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],ae,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,actionPerformed/1[java.awt.event.ActionEvent],ve,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mousePressed/1[java.awt.event.MouseEvent],me,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mouseClicked/1[java.awt.event.MouseEvent],me,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mouseClicked/1[java.awt.event.MouseEvent],l,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mouseReleased/1[java.awt.event.MouseEvent],me,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,cli,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,p1,5
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,c,5
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,flag,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,inet,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,e,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,h,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,i,7
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,p,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,str,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,s,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,t,6
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,x,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,chatform/0,v1,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,mouseExited/1[java.awt.event.MouseEvent],me,0
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,msg,16
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,b,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,pat,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,flag,5
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,e,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,i,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,b1,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,str,12
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,s,11
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,t,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,size,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,u,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,sender,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,x,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,fout,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\chatform.java,chatform,run/0,x1,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,actionPerformed/1[java.awt.event.ActionEvent],ar,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,actionPerformed/1[java.awt.event.ActionEvent],ae,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,actionPerformed/1[java.awt.event.ActionEvent],e,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,actionPerformed/1[java.awt.event.ActionEvent],i,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,actionPerformed/1[java.awt.event.ActionEvent],byt,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,"killall/2[chatform,java.util.Vector]",chform,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,"killall/2[chatform,java.util.Vector]",c,6
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,"killall/2[chatform,java.util.Vector]",v,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,"killall/2[chatform,java.util.Vector]",h,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\killall.java,killall,"killall/2[chatform,java.util.Vector]",v1,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,"filter/2[java.lang.String[],java.lang.String]",description,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,"filter/2[java.lang.String[],java.lang.String]",i,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,"filter/2[java.lang.String[],java.lang.String]",filters,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,accept/1[java.io.File],extension,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,accept/1[java.io.File],f,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,getExtension/1[java.io.File],filename,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,getExtension/1[java.io.File],f,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,getExtension/1[java.io.File],i,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,filter/1[java.lang.String[]],filters,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,"filter/2[java.lang.String,java.lang.String]",extension,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,"filter/2[java.lang.String,java.lang.String]",description,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,getDescription/0,extensions,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,addExtension/1[java.lang.String],extension,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,setExtensionListInDescription/1[boolean],b,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,filter/1[java.lang.String],extension,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\filter.java,filter,setDescription/1[java.lang.String],description,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\clientform.java,clientform,clientform/1[java.lang.String],i,2
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\clientform.java,clientform,clientform/1[java.lang.String],mess,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"sendall/2[int,java.lang.String]",msg,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"sendall/2[int,java.lang.String]",i,4
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"sendall/2[int,java.lang.String]",m,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"sendall/2[int,java.lang.String]",n,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2sim/3[int,byte[],int]",msg,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2sim/3[int,byte[],int]",no,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2sim/3[int,byte[],int]",size,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2sim/3[int,byte[],int]",m,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,senderr/1[java.lang.String],msg,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,senderr/1[java.lang.String],i,3
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,senderr/1[java.lang.String],m,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2/2[int,java.lang.String]",msg,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2/2[int,java.lang.String]",no,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,"send2/2[int,java.lang.String]",m,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,server3/0,e,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,run/0,t,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,run/0,e,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,send1/1[java.lang.String],msg,1
D:\8th\Software Maintenance\File-Transfer-and-Chat-Project-in-Java\File Transfer and Chat Project in Java\Project Files\ftpser1.java,server3,send1/1[java.lang.String],i,4
